title	url	imdbRating	ratingCount	duration	year																																							
Hachiko - Eine wunderbare Freundschaft (2009)	http://www.imdb.com/title/tt1028532/	8.2	76285	93	2009																																							
Oben (2009)	http://www.imdb.com/title/tt1049413/	8.3	425870	96	2009																																							
Shutter Island (2010)	http://www.imdb.com/title/tt1130884/	8.1	495936	138	2010																																							
Der Hobbit - Smaugs Einöde (2013)	http://www.imdb.com/title/tt1170358/	8.1	239935	161	2013																																							
3 Idiots (2009)	http://www.imdb.com/title/tt1187043/	8.5	103975	170	2009																																							
Harry Potter und die Heiligtümer des Todes - Teil 2 (2011)	http://www.imdb.com/title/tt1201607/	8.1	346862	130	2011																																							
Gran Torino (2008)	http://www.imdb.com/title/tt1205489/	8.2	405722	116	2008																																							
Ip Man (2008)	http://www.imdb.com/title/tt1220719/	8.1	101486	106	2008																																							
Die Frau die singt - Incendies (2010)	http://www.imdb.com/title/tt1255953/	8.2	45292	139	2010																																							
Warrior (2011)	http://www.imdb.com/title/tt1291584/	8.3	220357	140	2011																																							
In ihren Augen (2009)	http://www.imdb.com/title/tt1305806/	8.3	82183	129	2009																																							
The Dark Knight Rises (2012)	http://www.imdb.com/title/tt1345836/	8.6	758626	165	2012																																							
Inception (2010)	http://www.imdb.com/title/tt1375666/	8.8	942259	148	2010																																							
Prisoners (2013)	http://www.imdb.com/title/tt1392214/	8.1	184698	153	2013																																							
The Help (2011)	http://www.imdb.com/title/tt1454029/	8.1	220355	146	2011																																							
Gravity (2013)	http://www.imdb.com/title/tt1454468/	8.1	341562	91	2013																																							
Lego (2014)	http://www.imdb.com/title/tt1490017/	8.3	52708	100	2014																																							
The King's Speech (2010)	http://www.imdb.com/title/tt1504320/	8.1	325645	118	2010																																							
Tropa de Elite 2 - O Inimigo Agora É Outro (2010)	http://www.imdb.com/title/tt1555149/	8.1	46844	115	2010																																							
Ziemlich beste Freunde (2011)	http://www.imdb.com/title/tt1675434/	8.6	286016	112	2011																																							
Her (2013)	http://www.imdb.com/title/tt1798709/	8.3	98365	126	2013																																							
Nader und Simin - eine Trennung (2011)	http://www.imdb.com/title/tt1832382/	8.5	105123	123	2011																																							
Django Unchained (2012)	http://www.imdb.com/title/tt1853728/	8.5	568296	165	2012																																							
Rush - Alles für den Sieg (2013)	http://www.imdb.com/title/tt1979320/	8.3	142959	123	2013																																							
12 Years a Slave (2013)	http://www.imdb.com/title/tt2024544/	8.3	161237	134	2013																																							
Die Jagd (2012)	http://www.imdb.com/title/tt2106476/	8.3	80966	115	2012																																							
Ein König in New York (1957)	http://www.imdb.com/title/tt0050598/	7.3	4268	110	1957																																							
Dinner um acht (1933)	http://www.imdb.com/title/tt0023948/	7.9	5139	111	1933																																							
The Miracle of Morgan's Creek (1944)	http://www.imdb.com/title/tt0037077/	8	4798	98	1944																																							
Der Rabe (1943)	http://www.imdb.com/title/tt0035753/	7.6	5372	92	1943																																							
Funny Games (1997)	http://www.imdb.com/title/tt0119167/	7.6	32584	108	1997																																							
Das Schreckenshaus des Dr. Rasanoff (1960)	http://www.imdb.com/title/tt0053459/	7.8	12002	88	1960																																							
Picknick am Valentinstag (1975)	http://www.imdb.com/title/tt0073540/	7.6	20020	115	1975																																							
Der eiskalte Engel (1967)	http://www.imdb.com/title/tt0062229/	8.2	22465	105	1967																																							
Wenn die Gondeln Trauer tragen (1973)	http://www.imdb.com/title/tt0069995/	7.4	26050	110	1973																																							
Napoleon vom Broadway (1934)	http://www.imdb.com/title/tt0025919/	7.9	3874	91	1934																																							
Augen der Angst (1960)	http://www.imdb.com/title/tt0054167/	7.8	17160	101	1960																																							
In der Hitze der Nacht (1967)	http://www.imdb.com/title/tt0061811/	8	39484	109	1967																																							
Videoclub (2013)	http://www.imdb.com/title/tt3317282/	4.9	18	0	2013																																							
Mord im Orient Express (1974)	http://www.imdb.com/title/tt0071877/	7.3	28857	128	1974																																							
Buster Keaton - Dampfer-Willis Sohn (1928)	http://www.imdb.com/title/tt0019421/	8	7236	70	1928																																							
Blue Velvet (1986)	http://www.imdb.com/title/tt0090756/	7.8	100580	120	1986																																							
Tod auf dem Nil (1978)	http://www.imdb.com/title/tt0077413/	7.2	15392	140	1978																																							
Das Böse unter der Sonne (1982)	http://www.imdb.com/title/tt0083908/	7	6871	117	1982																																							
Haus der Spiele (1987)	http://www.imdb.com/title/tt0093223/	7.3	14094	102	1987																																							
Verdammnis (2009)	http://www.imdb.com/title/tt1216487/	7.1	55813	129	2009																																							
Copykill (1995)	http://www.imdb.com/title/tt0112722/	6.5	36160	123	1995																																							
Die purpurnen Flüsse (2000)	http://www.imdb.com/title/tt0228786/	6.9	40832	106	2000																																							
Mord - Sir John greift ein! (1930)	http://www.imdb.com/title/tt0021165/	6.4	3464	104	1930																																							
Mr. Deeds geht in die Stadt (1936)	http://www.imdb.com/title/tt0027996/	8	12499	115	1936																																							
The Palm Beach Story (1942)	http://www.imdb.com/title/tt0035169/	7.9	6804	88	1942																																							
Precious Images (1986)	http://www.imdb.com/title/tt0091787/	7.4	442	8	1986																																							
Atlantic City\	atlantic city usa	http://www.imdb.com/title/tt0080388/	7.4	153.15	6240																																				0			
Der versteinerte Wald (1936)	http://www.imdb.com/title/tt0028096/	7.7	7818	82	1936																																							
Boys Don't Cry (1999)	http://www.imdb.com/title/tt0171804/	7.6	63699	118	1999																																							
Die Outsider (1983)	http://www.imdb.com/title/tt0086066/	7.2	45251	91	1983																																							
The Panic in Needle Park (1971)	http://www.imdb.com/title/tt0067549/	7.1	8763	110	1971																																							
Es tut sich was in Hollywood (1928)	http://www.imdb.com/title/tt0019379/	8.3	2400	83	1928																																							
Das Kind (2005)	http://www.imdb.com/title/tt0456396/	7.4	11521	100	2005																																							
